date,shift,scheduled_arrivals,scheduled_departures,international_flights,domestic_flights,wide_body_count,narrow_body_count,expected_passengers,cargo_tonnage,mail_tonnage,dangerous_goods_tonnage,weather_severity_index,wind_speed,visibility_km,rainfall_mm,equipment_utilization_rate,equipment_breakdown_count,active_gates,occupied_gates,staff_absenteeism_rate,delay_minutes,workload_index,required_ground_crew_count
2024-04-07,Morning,77,90,58,109,19,152,31570,185.23,20.94,1.72,1.78,17.9,18.29,1.8,87.48,1,44,37,2.08,51.6,64.73,218
2026-04-28,Afternoon,80,90,50,120,19,146,25471,182.35,16.29,1.68,2.49,26.8,17.27,2.0,93.08,2,58,54,1.37,218.6,64.69,216
2025-12-18,Night,42,42,23,61,12,77,12165,77.14,11.0,1.45,2.38,30.6,16.57,2.8,61.59,2,103,43,3.85,14.1,26.15,124
2025-04-26,Morning,43,43,25,61,6,84,15825,58.28,9.28,0.27,1.43,21.4,16.87,17.0,63.19,3,72,33,3.23,34.4,28.74,127
2025-04-19,Morning,77,95,56,116,22,153,30621,159.4,18.27,0.31,0.3,19.2,19.18,0.0,84.01,15,99,94,2.35,255.2,76.63,258
2026-07-30,Afternoon,52,54,26,80,4,100,15987,99.32,10.78,1.45,1.48,21.5,17.12,13.6,79.05,0,86,47,16.49,12.0,31.61,155
2024-04-04,Night,40,46,24,62,10,78,18396,69.5,12.67,1.49,1.93,39.8,17.04,4.7,68.96,0,93,45,1.44,12.0,29.81,125
2026-02-03,Afternoon,45,44,18,71,2,86,11022,33.76,10.97,1.87,0.98,5.7,18.94,1.0,70.78,2,79,41,6.15,22.4,21.31,107
2024-08-08,Afternoon,62,49,27,84,5,105,19231,35.68,18.7,1.21,4.35,21.4,16.02,2.7,83.11,0,76,47,3.91,30.0,38.49,142
2024-04-13,Afternoon,50,64,42,72,11,101,23960,116.73,9.53,0.11,2.74,33.4,15.68,17.3,78.39,0,84,61,1.87,39.4,44.89,162
2025-07-31,Morning,73,84,55,102,15,140,24847,132.33,19.4,0.28,2.88,23.9,16.33,16.2,85.8,1,63,43,2.38,63.6,55.94,199
2026-12-05,Afternoon,70,81,56,95,15,139,33177,196.66,15.72,0.94,1.1,9.0,18.31,1.4,85.54,0,56,46,3.46,110.7,63.11,208
2026-03-17,Morning,55,39,20,74,2,91,17806,42.56,20.45,1.35,2.87,11.6,17.37,3.0,68.02,2,91,50,1.59,21.1,33.01,119
2026-04-14,Afternoon,62,42,34,70,14,94,14856,108.39,22.41,1.9,1.17,10.9,18.42,4.3,69.66,2,80,44,1.17,10.9,31.62,138
2026-02-25,Morning,47,49,25,71,10,84,16396,86.85,7.14,1.03,1.48,23.7,17.93,0.6,60.49,0,80,42,5.93,3.1,29.42,137
2026-05-11,Morning,54,50,34,70,10,92,14042,77.1,25.74,8.45,8.9,35.3,13.63,1.9,80.86,3,99,61,3.47,138.0,47.42,174
2025-07-16,Afternoon,50,58,29,79,5,104,22414,55.96,11.88,0.75,2.3,19.3,14.15,2.8,71.79,0,86,69,1.34,51.4,38.7,140
2024-05-20,Afternoon,74,84,52,106,20,135,22458,203.56,18.74,0.81,2.43,15.2,16.3,2.7,77.82,1,73,73,3.02,82.9,56.73,200
2026-07-09,Afternoon,46,47,24,69,10,78,22142,71.14,7.35,0.89,1.42,19.1,16.42,3.2,75.3,1,57,33,1.21,23.3,35.04,141
2025-05-08,Afternoon,44,48,21,71,7,87,15008,56.59,13.86,1.44,4.75,30.3,11.78,38.2,72.58,1,60,24,3.13,69.4,34.25,132
2025-07-02,Night,63,43,28,78,12,97,19450,114.02,7.89,7.0,0.22,14.7,18.56,1.4,76.58,2,56,34,4.13,20.4,35.29,151
2025-02-10,Night,33,38,14,57,8,66,13105,85.27,9.14,0.96,2.74,22.7,12.54,35.7,59.29,2,97,46,6.41,30.1,26.13,120
2024-07-19,Night,42,46,18,70,7,77,18815,60.58,12.04,1.47,9.57,39.4,14.28,0.7,65.64,1,67,38,4.77,113.9,47.6,156
2026-10-12,Afternoon,53,47,31,69,7,95,16652,104.42,13.71,0.36,2.27,11.1,15.12,14.0,71.8,0,88,53,3.4,9.4,32.89,131
2026-05-06,Afternoon,48,50,28,70,7,90,19178,52.92,19.2,0.13,1.61,12.3,18.5,0.0,68.04,1,90,48,5.41,18.0,32.34,131
2025-12-06,Afternoon,120,110,81,149,28,180,35000,264.81,27.77,1.29,0.86,10.4,17.75,0.0,84.25,2,113,94,6.13,69.9,82.94,271
2025-03-17,Afternoon,40,64,37,67,13,96,14546,204.67,14.36,1.73,4.4,46.5,14.13,29.9,67.3,4,66,40,3.38,51.4,44.63,172
2026-06-20,Morning,47,55,25,77,6,99,16661,70.25,10.31,1.34,0.78,22.9,16.2,10.2,64.93,1,89,55,5.42,18.5,29.81,138
