date,shift,required_ground_crew_count
2024-04-07,Morning,149
2026-04-28,Afternoon,109
2025-12-18,Night,68
2025-04-26,Morning,78
2025-04-19,Morning,173
2026-07-30,Afternoon,70
2024-04-04,Night,66
2026-02-03,Afternoon,69
2024-08-08,Afternoon,64
2024-04-13,Afternoon,89
2025-07-31,Morning,133
2026-12-05,Afternoon,120
2026-03-17,Morning,76
2026-04-14,Afternoon,79
2026-02-25,Morning,78
2026-05-11,Morning,79
2025-07-16,Afternoon,92
2024-05-20,Afternoon,151
2026-07-09,Afternoon,76
2025-05-08,Afternoon,74
2025-07-02,Night,102
2025-02-10,Night,77
2024-07-19,Night,104
2026-10-12,Afternoon,59
2026-05-06,Afternoon,86
2025-12-06,Afternoon,163
2025-03-17,Afternoon,109
2026-06-20,Morning,72
2025-08-20,Afternoon,93
2025-04-30,Morning,197
2025-05-08,Morning,95
2024-09-06,Night,54
2024-04-10,Morning,70
2025-08-30,Afternoon,55
2026-08-31,Afternoon,191
2024-03-10,Morning,102
2026-07-29,Night,57
2026-06-26,Morning,127
2024-10-30,Night,44
2025-11-23,Night,41
2024-06-30,Morning,79
2026-04-10,Morning,94
2026-02-06,Morning,132
2025-01-23,Morning,77
2024-03-15,Morning,107
2026-11-29,Night,63
2025-05-03,Morning,117
2026-09-05,Night,65
2026-01-12,Morning,112
2026-05-03,Night,83
2026-04-12,Morning,131
2024-08-01,Afternoon,59
2025-02-02,Afternoon,62
2025-05-26,Morning,108
2025-06-29,Night,129
2024-02-18,Morning,113
2025-08-22,Afternoon,87
2024-06-18,Afternoon,147
2026-03-25,Afternoon,68
2026-01-18,Morning,119
2026-10-08,Morning,164
2026-03-27,Morning,57
2025-02-05,Morning,102
2026-11-26,Morning,136
2025-03-26,Night,45
2024-12-23,Afternoon,77
2026-09-19,Afternoon,53
2025-02-10,Morning,146
2024-03-24,Morning,103
2025-05-29,Afternoon,64
2026-05-22,Morning,105
2024-07-26,Morning,156
2025-05-22,Afternoon,119
2024-05-22,Afternoon,80
2026-01-22,Night,40
2025-06-05,Morning,202
2024-12-27,Afternoon,143
2024-09-05,Morning,57
2025-09-10,Morning,49
2026-01-04,Afternoon,87
2026-10-27,Morning,83
2025-04-24,Afternoon,74
2024-06-25,Afternoon,140
2026-07-01,Morning,132
2025-11-21,Night,42
2026-02-06,Afternoon,65
2024-04-16,Night,51
2024-12-08,Afternoon,156
2026-04-21,Night,72
2026-07-01,Morning,120
2025-04-21,Afternoon,105
2026-06-01,Night,96
2026-07-11,Morning,123
2025-02-28,Morning,132
2026-09-11,Night,65
2024-11-12,Afternoon,102
2024-09-19,Afternoon,94
2026-01-18,Afternoon,150
2025-11-28,Night,63
2024-06-02,Night,55
2026-07-01,Afternoon,48
2024-08-07,Morning,110
2026-06-01,Morning,74
2024-01-09,Afternoon,79
2026-05-23,Night,61
2026-05-12,Afternoon,161
2026-05-05,Morning,105
2025-12-29,Morning,167
2025-05-31,Afternoon,59
2026-02-11,Night,66
2024-10-30,Morning,45
2026-05-05,Afternoon,74
2025-08-31,Night,85
2025-05-17,Night,43
2025-07-08,Morning,113
2025-09-15,Night,47
2024-02-10,Afternoon,39
2024-06-02,Night,74
2024-09-26,Morning,129
2024-05-05,Afternoon,198
2025-04-26,Afternoon,143
2026-01-02,Morning,121
2025-12-18,Afternoon,80
2025-05-31,Afternoon,71
2026-07-26,Afternoon,143
2025-09-11,Morning,130
2024-03-27,Afternoon,91
2026-04-18,Morning,145
2025-09-21,Night,55
2025-11-26,Night,48
2025-09-11,Morning,96
2025-08-29,Morning,102
2024-04-09,Morning,60
2025-09-04,Afternoon,58
2026-05-21,Night,65
2024-11-29,Afternoon,84
2025-10-22,Morning,112
2024-02-03,Morning,86
2025-01-15,Morning,95
2025-04-23,Night,56
2026-12-13,Afternoon,92
2024-08-23,Afternoon,57
2024-10-30,Morning,55
2025-03-23,Night,65
2026-12-23,Morning,78
2026-07-24,Night,74
2024-02-08,Night,58
2024-09-13,Afternoon,146
2026-06-19,Night,92
2024-03-04,Morning,106
2026-07-26,Afternoon,233
2024-11-04,Morning,95
2026-10-02,Afternoon,88
2024-11-17,Morning,143
2025-04-21,Morning,74
2025-12-26,Morning,162
2024-05-18,Morning,90
2025-09-02,Afternoon,47
2025-07-07,Afternoon,115
2026-05-09,Morning,73
2026-12-27,Night,73
2025-12-29,Night,84
2025-03-24,Morning,51
2025-03-21,Afternoon,116
2025-04-03,Afternoon,78
2026-06-11,Afternoon,84
2024-12-18,Morning,103
2024-07-02,Afternoon,120
2025-01-01,Morning,176
2024-01-25,Morning,81
2024-04-26,Afternoon,122
2024-04-08,Afternoon,109
2026-04-25,Night,52
2026-03-02,Morning,65
2026-02-02,Morning,132
2025-05-21,Morning,123
2026-02-24,Morning,76
2024-06-25,Morning,109
2026-09-14,Afternoon,119
2025-07-03,Afternoon,167
2026-10-25,Afternoon,92
2024-06-15,Morning,96
2025-06-29,Morning,107
2026-02-02,Afternoon,81
2025-06-27,Morning,169
2025-05-03,Night,47
2024-07-01,Morning,119
2025-02-21,Afternoon,76
2024-09-18,Night,36
2024-11-26,Afternoon,100
2026-01-19,Afternoon,59
2025-11-21,Afternoon,128
2025-10-27,Morning,97
2025-01-31,Afternoon,137
2026-11-17,Night,32
2024-04-06,Night,106
2025-01-10,Afternoon,76
2024-05-09,Morning,97
2025-01-06,Night,49
2026-11-20,Afternoon,56
2025-02-05,Morning,82
2026-09-22,Morning,76
2025-06-26,Morning,114
2026-02-05,Afternoon,46
2025-05-16,Morning,158
2024-10-18,Morning,70
2026-04-17,Morning,138
2026-11-28,Night,54
2024-10-15,Morning,86
2026-05-03,Morning,79
2024-10-13,Afternoon,113
2026-02-24,Morning,64
2026-05-14,Night,67
2025-05-07,Night,44
2026-03-18,Afternoon,89
2024-10-25,Afternoon,65
2024-03-27,Morning,126
2024-04-15,Morning,110
2025-05-04,Morning,173
2026-09-16,Morning,144
2024-05-19,Morning,102
2025-05-14,Afternoon,68
2026-02-10,Morning,113
2024-08-09,Morning,134
2026-03-01,Afternoon,105
2024-12-01,Afternoon,77
2026-06-05,Morning,117
2025-09-26,Morning,133
2025-08-22,Morning,194
2024-07-12,Morning,87
2025-05-22,Night,83
2026-07-27,Night,47
2024-01-22,Afternoon,105
2026-04-11,Afternoon,70
2025-06-24,Afternoon,66
2026-02-27,Afternoon,58
2025-12-27,Morning,151
2025-04-18,Morning,77
2024-12-04,Afternoon,77
2025-11-18,Afternoon,115
2024-06-02,Morning,110
2025-10-02,Morning,74
2024-04-13,Morning,80
2025-12-13,Morning,104
2025-11-20,Afternoon,106
2024-04-02,Afternoon,54
2026-04-10,Afternoon,135
2025-03-31,Morning,94
2026-05-12,Morning,112
2024-02-15,Night,34
2024-07-15,Afternoon,78
2025-06-25,Morning,203
2024-07-25,Morning,115
2024-12-27,Night,99
2025-12-25,Night,87
2024-06-07,Night,41
2026-01-12,Afternoon,96
2024-04-23,Afternoon,99
2024-07-11,Afternoon,81
2025-10-06,Morning,72
2026-05-19,Afternoon,83
2024-07-05,Afternoon,96
2024-11-24,Morning,81
2026-10-10,Night,104
2026-12-20,Morning,111
2025-09-28,Morning,86
2025-05-04,Morning,95
2025-01-15,Night,65
2025-11-02,Night,56
2025-10-09,Afternoon,65
2024-11-19,Night,49
2024-01-25,Night,51
2024-06-15,Night,89
2026-11-16,Night,70
2025-04-03,Morning,98
2025-06-12,Night,92
2025-05-26,Afternoon,71
2026-05-07,Afternoon,90
2024-03-12,Morning,103
2024-03-31,Afternoon,71
2024-10-29,Night,56
2025-06-17,Morning,204
2026-01-05,Night,35
2025-06-21,Morning,95
2025-04-28,Morning,168
2026-10-24,Morning,168
2024-06-25,Night,119
2025-09-18,Afternoon,46
2025-08-17,Morning,109
2025-06-02,Afternoon,79
2026-06-04,Morning,117
2024-10-19,Afternoon,241
2026-11-11,Night,95
2024-12-29,Afternoon,99
2025-08-20,Night,56
2025-07-24,Afternoon,115
2026-07-20,Night,60
2025-04-26,Morning,113
2024-11-07,Morning,140
2024-01-24,Morning,94
2025-02-02,Afternoon,53
2026-06-24,Afternoon,51
2024-01-11,Afternoon,64
2026-09-09,Morning,70
2025-08-17,Morning,131
2024-06-02,Afternoon,84
2024-11-27,Night,33
2025-08-30,Morning,85
2024-12-11,Morning,86
2024-04-28,Morning,82
2025-12-30,Afternoon,78
2026-01-06,Morning,110
2024-05-10,Morning,90
2024-11-04,Afternoon,85
2024-09-24,Morning,98
2025-12-23,Morning,149
2026-03-11,Morning,79
2026-03-07,Night,88
2026-10-25,Afternoon,75
2026-04-22,Morning,97
2024-12-17,Morning,113
2024-04-28,Afternoon,95
2025-11-04,Night,40
2026-09-30,Morning,108
2026-12-04,Morning,129
2024-09-09,Morning,86
2024-09-16,Afternoon,86
2024-02-11,Night,40
2024-06-03,Afternoon,118
2025-08-31,Morning,112
2025-08-22,Night,52
2025-02-10,Afternoon,66
2024-12-05,Morning,84
2026-06-28,Morning,78
2025-05-19,Morning,109
2026-06-04,Night,29
2026-11-21,Afternoon,127
2024-12-13,Afternoon,122
2024-08-10,Night,74
2026-11-10,Morning,119
2025-11-26,Morning,59
2024-11-14,Morning,103
2025-11-12,Night,80
2025-07-18,Afternoon,85
2026-09-19,Morning,104
2024-10-07,Morning,68
2026-12-22,Afternoon,116
2026-10-22,Afternoon,109
2024-07-17,Afternoon,183
2024-06-29,Morning,76
2025-08-07,Night,68
2024-02-19,Night,73
2024-11-23,Afternoon,88
2025-04-21,Afternoon,102
2026-11-28,Night,76
2026-12-23,Night,64
2024-06-15,Afternoon,199
2026-09-04,Afternoon,107
2024-04-09,Morning,76
2026-03-31,Night,42
2026-07-15,Afternoon,75
2026-09-03,Morning,95
2024-09-01,Morning,194
2026-09-06,Night,50
2024-05-07,Night,46
2025-07-22,Night,83
2025-05-29,Afternoon,96
2024-12-12,Night,85
2024-01-25,Night,54
2026-04-26,Morning,55
2025-01-02,Morning,84
2025-12-26,Night,51
2025-03-25,Morning,144
2025-02-13,Afternoon,113
2026-08-29,Afternoon,47
2024-04-13,Afternoon,193
2026-03-18,Morning,86
2026-03-29,Afternoon,105
2025-02-20,Morning,86
2024-10-14,Night,94
2024-01-06,Morning,82
2026-10-23,Afternoon,49
2026-11-04,Night,76
2024-09-21,Morning,103
2024-02-04,Morning,71
2024-05-14,Night,55
2024-03-15,Morning,103
2026-06-29,Morning,108
2026-09-04,Afternoon,70
2024-06-16,Night,73
2026-03-29,Afternoon,72
2024-07-15,Morning,62
2025-02-06,Night,67
2025-10-18,Afternoon,46
2026-02-28,Afternoon,78
2026-08-16,Afternoon,111
2024-02-19,Morning,55
2024-08-03,Morning,158
2024-11-03,Afternoon,166
2024-12-06,Morning,130
2026-12-29,Afternoon,95
2026-05-02,Morning,128
2024-12-17,Morning,67
2026-12-01,Morning,90
2025-07-01,Afternoon,92
2025-07-02,Afternoon,92
2025-04-20,Morning,125
2024-06-06,Morning,86
2026-10-21,Morning,88
2024-01-16,Night,57
2024-07-10,Morning,146
2024-09-08,Night,52
2024-11-02,Morning,68
2024-05-24,Morning,115
2024-01-20,Afternoon,66
2026-01-12,Afternoon,100
2026-11-28,Morning,76
2024-05-13,Night,62
2024-11-21,Morning,123
2025-07-08,Morning,72
2026-10-13,Morning,90
2026-01-30,Afternoon,60
2026-04-19,Night,43
2025-09-28,Morning,95
2025-04-02,Night,77
